import time: self [us] | cumulative | imported package
import time:      2040 |       3939 |         importlib.abc
import time:      3314 |      35755 |       importlib.metadata
import time:       240 |        240 |       diffwitness.structure_sources
import time:       279 |      36273 |     diffwitness.structure_syntax
import time:       265 |      43045 |   diffwitness.structure_registry
import time:       254 |      67415 | diffwitness.structure_transport
import time:       729 |        729 |   email.feedparser
import time:       464 |       1193 | email.parser
import time:      4596 |       4596 | tree_sitter._binding
import time:       508 |        508 | tree_sitter_json._binding
import time:       182 |        182 |         tomllib._types
import time:      1134 |       1315 |       tomllib._re
import time:       987 |       2302 |     tomllib._parser
import time:       208 |       2509 |   tomllib
import time:       318 |       2827 | diffwitness.structure_data
