import time: self [us] | cumulative | imported package
import time:      1477 |       2091 |                 socket
import time:       801 |        801 |                   calendar
import time:      1410 |       2210 |                 email._parseaddr
import time:        99 |         99 |                   email.base64mime
import time:       178 |        178 |                   email.quoprimime
import time:       447 |        447 |                   email.errors
import time:       107 |        107 |                   email.encoders
import time:       279 |       1108 |                 email.charset
import time:       505 |       5912 |               email.utils
import time:       508 |        508 |                 email.header
import time:       326 |        833 |               email._policybase
import time:       235 |        235 |               email._encoded_words
import time:       197 |        197 |               email.iterators
import time:       622 |       7924 |             email.message
import time:        72 |         72 |               importlib.metadata._functools
import time:       136 |        207 |             importlib.metadata._text
import time:       301 |       8431 |           importlib.metadata._adapters
import time:       455 |        455 |           importlib.metadata._meta
import time:       263 |        263 |           importlib.metadata._collections
import time:        81 |         81 |           importlib.metadata._itertools
import time:       548 |        548 |                 importlib.resources.abc
import time:       355 |        355 |                 importlib.resources._adapters
import time:       356 |       1257 |               importlib.resources._common
import time:       154 |        154 |               importlib.resources._legacy
import time:       116 |       1526 |             importlib.resources
import time:       338 |       1864 |           importlib.abc
import time:      1564 |      15582 |         importlib.metadata
import time:       245 |      15827 |       diffwitness.structure_syntax
import time:       218 |      16157 |     diffwitness.structure_registry
import time:       235 |      19981 |   diffwitness.structure_provider
import time:       324 |      71903 | diffwitness.continuity_cli
import time:       270 |        270 | diffwitness.structure_transport
